X;Y;osm_id;type;name;operator;wheelchair;access;opening_hours;fee;supervised;for_everyone;for_child;for_women;for_men;drinking_water;toilets_disposal;toilets_position;paper_supplied;handwashing;changing_table;com_insee;com_nom
-0.5997185;44.7711836004885;node/5523844735;toilettes_publiques;;;;;;;;;;;;;;;;;;"33192";Gradignan
-1.6858422;43.3884674005419;node/5529972929;toilettes_publiques;;Ville de Urrugne;no;yes;;no;;yes;;;;no;;;;;no;"64545";Urrugne
-0.2507252;46.6490531002305;node/553084002;toilettes_publiques;;;no;;;no;;;;;;;;;;;;"79202";Parthenay
0.0459736;46.5590425002473;node/5532173484;toilettes_publiques;;;;;;;;;;;;;;;;;;"86123";Boivre-la-Vallée
-0.6537557;43.7911183005383;node/5533751825;toilettes_publiques;Toilettes publiques de Lamothe;;;;;;;;;;;;;;;;;"40143";Lamothe
-0.4595866;43.8472366005371;node/5534106238;toilettes_publiques;;;limited;yes;;no;;;;;;yes;;;;yes;;"40055";Bretagne-de-Marsan
0.0079896;43.9864242005331;node/5535757822;toilettes_publiques;;;no;yes;;;;yes;;;;;;;;;;"40102";Gabarret
0.1325242;44.0417155005312;node/5536088123;toilettes_publiques;;;;;;;;;;;;;;;;;;"47302";Sos
0.2866254;44.1704404005261;node/5536097324;toilettes_publiques;;;;;;;;;;;;;;;;;;"47021";Barbaste
0.2899056;44.1698166005261;node/5536107473;toilettes_publiques;;;;;;;;;;;;;;;;;;"47195";Nérac
-0.0862638;44.6920257004947;node/5537252091;toilettes_publiques;;;yes;;;;;yes;;;;;;;;;;"33506";Sauveterre-de-Guyenne
1.262729;45.8343190003674;node/5537428285;toilettes_publiques;;;;yes;;yes;;;;;;;;;;;;"87085";Limoges
